price,href,title
 R$ 14.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-2018-2019-1-0-12v-sce-flex-expression-manual-675499951,"
									Fiesta sedan 1.6 completo cm gnv - 2005
								"
 R$ 39.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hr-v-2015-2016-1-8-16v-flex-ex-4p-automatico-695734269,"
									RENAULT SANDERO 2018/2019 1.0 12V SCE FLEX EXPRESSION MANUAL - 2019
								"
 R$ 69.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/c3-excl-1-6-671011960,"
									HR-V 2015/2016 1.8 16V FLEX EX 4P AUTOMÁTICO - 2016
								"
 R$ 35.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-hi-flex-1-6-701954303,"
									C3 Excl. 1.6  - 2014
								"
 R$ 19.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/408-feline-2-0-automatico-2012-659669756,"
									SANDERO Expression Hi-Flex 1.6  - 2009
								"
 R$ 34.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/feirao-de-automoveis-703517058,"
									408 Feline 2.0 Automático 2012 - 2012
								"
 R$ 20.200,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/scenic-1-6-completa-703514985,"
									Feirão de automóveis - 2011
								"
 R$ 11.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/clio-hatch-2001-cm-ar-703511073,"
									Scenic 1.6 completa - 2005
								"
 R$ 7.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-siena-2010-2010-1-0-mpi-el-8v-flex-4p-manual-703510679,"
									Clio hatch 2001 cm ar - 2001
								"
 R$ 21.900,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/punto-atractive-1-4-completo-pra-vender-rapido-703509951,"
									FIAT SIENA 2010/2010 1.0 MPI EL 8V FLEX 4P MANUAL - 2010
								"
